type,word,count,substituted_with
deletion,yeah,6,
deletion,ayyayy,1,
deletion,and,2,
deletion,ayy,2,
deletion,lie,1,
deletion,if,1,
deletion,ah,1,
deletion,i,1,
deletion,fly,1,
deletion,care,1,
deletion,mmm,1,
deletion,key,1,
deletion,for,2,
deletion,the,2,
deletion,quarter,1,
deletion,you,2,
deletion,do,1,
deletion,to,3,
deletion,love,2,
deletion,youre,1,
deletion,lose,1,
deletion,so,1,
deletion,no,2,
deletion,one,1,
deletion,turn,1,
deletion,ive,1,
deletion,had,1,
deletion,enough,1,
deletion,of,1,
deletion,them,1,
deletion,at,1,
deletion,cash,1,
deletion,heart,1,
deletion,paradise,1,
deletion,say,1,
deletion,in,1,
deletion,unless,1,
deletion,im,1,
deletion,heartless,1,
deletion,day,1,
deletion,throw,1,
deletion,a,1,
deletion,tantrum,1,
deletion,even,1,
deletion,long,1,
deletion,wild,1,
deletion,cause,1,
deletion,it,1,
deletion,ohoh,1,
deletion,away,1,
deletion,citys,1,
deletion,oh,2,
deletion,ugh,1,
deletion,date,1,
deletion,laughin,1,
deletion,just,1,
deletion,ballistic,1,
deletion,on,1,
deletion,since,1,
deletion,uhhuh,1,
deletion,me,1,
deletion,bitch,1,
substitution,here,1,that
substitution,here,1,them
substitution,here,1,a
substitution,here,1,my
substitution,today,1,it
substitution,you,1,yours
substitution,you,3,im
substitution,you,1,oh
substitution,you,6,i
substitution,you,1,cant
substitution,you,1,that
substitution,you,1,kind
substitution,you,1,got
substitution,you,1,house
substitution,you,1,comparison
substitution,you,3,in
substitution,you,1,room
substitution,you,1,she
substitution,you,1,with
substitution,you,1,now
substitution,you,1,long
substitution,you,1,say
substitution,you,1,number
substitution,you,2,it
substitution,you,1,like
substitution,you,2,yummy
substitution,you,1,tired
substitution,you,1,touch
substitution,you,1,simplify
substitution,you,1,fine
substitution,you,1,night
substitution,you,1,these
substitution,you,2,so
substitution,you,1,things
substitution,you,2,the
substitution,you,1,theres
substitution,you,1,feel
substitution,you,1,had
substitution,you,1,without
substitution,you,1,your
substitution,you,1,yeah
substitution,you,1,dioio
substitution,you,1,up
substitution,you,3,to
substitution,you,1,through
substitution,you,1,thing
substitution,you,1,love
substitution,you,1,try
substitution,you,1,and
substitution,you,1,deep
substitution,you,1,line
substitution,you,1,blew
substitution,you,1,no
substitution,you,1,what
substitution,you,1,poppin
substitution,you,1,mom
substitution,you,1,perfect
substitution,you,1,too
substitution,you,1,running
substitution,you,1,take
substitution,you,1,bitch
substitution,go,1,gonna
substitution,go,1,ill
substitution,go,1,yes
substitution,go,1,happen
substitution,go,1,to
substitution,go,1,be
substitution,go,1,went
substitution,go,1,the
substitution,go,1,whip
substitution,go,1,had
substitution,go,1,aint
substitution,come,1,go
substitution,come,1,you
substitution,come,1,eyes
substitution,come,1,know
substitution,come,1,the
substitution,its,1,explore
substitution,its,1,things
substitution,its,1,to
substitution,its,2,ever
substitution,its,1,im
substitution,its,1,the
substitution,its,1,of
substitution,its,1,it
substitution,roarin,1,you
substitution,yeah,1,know
substitution,yeah,1,how
substitution,yeah,1,out
substitution,yeah,1,as
substitution,yeah,1,loot
substitution,yeah,1,bag
substitution,yeah,5,yummy
substitution,yeah,1,any
substitution,yeah,1,say
substitution,yeah,1,word
substitution,yeah,1,morning
substitution,yeah,1,late
substitution,yeah,1,the
substitution,yeah,1,5050
substitution,yeah,1,made
substitution,yeah,1,my
substitution,yeah,3,you
substitution,yeah,2,if
substitution,yeah,1,all
substitution,yeah,2,it
substitution,yeah,1,modest
substitution,know,2,coming
substitution,know,1,wanna
substitution,know,1,that
substitution,know,1,cause
substitution,know,1,can
substitution,know,1,you
substitution,know,1,of
substitution,know,1,and
substitution,know,1,to
substitution,know,1,goddess
substitution,know,1,throwin
substitution,how,1,you
substitution,how,1,been
substitution,how,1,child
substitution,im,1,know
substitution,im,1,over
substitution,im,1,paddock
substitution,im,1,not
substitution,im,1,hear
